"country","year","age_group","gender","education","status","sector_group","population"
"Kenya",2015,"15-24","female","no","employed","Agriculture",256214
"Kenya",2015,"15-24","female","no","employed","Industry",34562
"Kenya",2015,"15-24","female","no","employed","Services",127130
"Kenya",2015,"15-24","female","no","inactive",NA,343866
"Kenya",2015,"15-24","female","no","student",NA,3350
"Kenya",2015,"15-24","female","no","unemployed",NA,20440
"Kenya",2015,"15-24","female","primary","employed","Agriculture",142342
"Kenya",2015,"15-24","female","primary","employed","Industry",39423
"Kenya",2015,"15-24","female","primary","employed","Services",158749
"Kenya",2015,"15-24","female","primary","inactive",NA,85187
"Kenya",2015,"15-24","female","primary","student",NA,385810
"Kenya",2015,"15-24","female","primary","unemployed",NA,23187
"Kenya",2015,"15-24","female","secondary","employed","Agriculture",333033
"Kenya",2015,"15-24","female","secondary","employed","Industry",80959
"Kenya",2015,"15-24","female","secondary","employed","Services",609925
"Kenya",2015,"15-24","female","secondary","inactive",NA,288465
"Kenya",2015,"15-24","female","secondary","student",NA,1299538
"Kenya",2015,"15-24","female","secondary","unemployed",NA,89532
"Kenya",2015,"15-24","female","tertiary","employed","Agriculture",7593
"Kenya",2015,"15-24","female","tertiary","employed","Industry",2770
"Kenya",2015,"15-24","female","tertiary","employed","Services",27041
"Kenya",2015,"15-24","female","tertiary","inactive",NA,1011
"Kenya",2015,"15-24","female","tertiary","student",NA,85238
"Kenya",2015,"15-24","female","tertiary","unemployed",NA,10967
"Kenya",2015,"15-24","male","no","employed","Agriculture",291756
"Kenya",2015,"15-24","male","no","employed","Industry",109570
"Kenya",2015,"15-24","male","no","employed","Services",271327
"Kenya",2015,"15-24","male","no","inactive",NA,170017
"Kenya",2015,"15-24","male","no","student",NA,41715
"Kenya",2015,"15-24","male","no","unemployed",NA,32840
"Kenya",2015,"15-24","male","primary","employed","Agriculture",78191
"Kenya",2015,"15-24","male","primary","employed","Industry",64915
"Kenya",2015,"15-24","male","primary","employed","Services",172545
"Kenya",2015,"15-24","male","primary","inactive",NA,28610
"Kenya",2015,"15-24","male","primary","student",NA,472319
"Kenya",2015,"15-24","male","primary","unemployed",NA,21844
"Kenya",2015,"15-24","male","secondary","employed","Agriculture",254988
"Kenya",2015,"15-24","male","secondary","employed","Industry",182851
"Kenya",2015,"15-24","male","secondary","employed","Services",480521
"Kenya",2015,"15-24","male","secondary","inactive",NA,88037
"Kenya",2015,"15-24","male","secondary","student",NA,1497522
"Kenya",2015,"15-24","male","secondary","unemployed",NA,88488
"Kenya",2015,"15-24","male","tertiary","employed","Agriculture",8937
"Kenya",2015,"15-24","male","tertiary","employed","Industry",3205
"Kenya",2015,"15-24","male","tertiary","employed","Services",14342
"Kenya",2015,"15-24","male","tertiary","student",NA,96312
"Kenya",2015,"15-24","male","tertiary","unemployed",NA,9918
"Kenya",2015,"25-35","female","no","employed","Agriculture",288500
"Kenya",2015,"25-35","female","no","employed","Industry",52923
"Kenya",2015,"25-35","female","no","employed","Services",153087
"Kenya",2015,"25-35","female","no","inactive",NA,227654
"Kenya",2015,"25-35","female","no","student",NA,13874
"Kenya",2015,"25-35","female","no","unemployed",NA,2133
